Game Boy Advance , 0 , 32 , 32.44 , 2011-09-01 00:00:00
GameCube , 4 , 188 , 45.2 , 2011-09-01 00:00:00
Nintendo 3DS , 262667 , 44318706 , 168.73 , 2011-09-01 00:00:00
Nintendo DS , 146365 , 21277683 , 145.37 , 2011-09-01 00:00:00
PlayStation 2 , 22001 , 2190980 , 99.59 , 2011-09-01 00:00:00
PlayStation 3 , 373530 , 101522793 , 271.79 , 2011-09-01 00:00:00
PlayStation Portable , 83347 , 11840175 , 142.06 , 2011-09-01 00:00:00
PlayStation Vita , 0 , 0 , 0.0 , 2011-09-01 00:00:00
Wii , 239586 , 33333413 , 139.13 , 2011-09-01 00:00:00
Xbox , 1 , 124 , 124.49 , 2011-09-01 00:00:00
Xbox 360 , 439272 , 131779857 , 300.0 , 2011-09-01 00:00:00
Dreamcast , 13 , 984 , 77.87 , 2010-10-01 00:00:00
Game Boy Advance , 8 , 513 , 64.12 , 2010-10-01 00:00:00
GameCube , 20 , 1057 , 53.51 , 2010-10-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-10-01 00:00:00
Neo Geo Pocket , 0 , 0 , 0.0 , 2010-10-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-10-01 00:00:00
Nintendo DS , 341560 , 51584239 , 151.03 , 2010-10-01 00:00:00
PlayStation , 2 , 55 , 34.99 , 2010-10-01 00:00:00
PlayStation 2 , 33499 , 3323582 , 99.21 , 2010-10-01 00:00:00
PlayStation 3 , 249746 , 83304206 , 333.56 , 2010-10-01 00:00:00
PlayStation Portable , 73138 , 13476309 , 184.26 , 2010-10-01 00:00:00
Wii , 228734 , 44794816 , 195.84 , 2010-10-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-10-01 00:00:00
Xbox 360 , 323936 , 82615325 , 255.04 , 2010-10-01 00:00:00
Game Boy Advance , 1 , 90 , 61.98 , 2011-10-01 00:00:00
GameCube , 6 , 234 , 39.06 , 2011-10-01 00:00:00
Nintendo 3DS , 251218 , 41830849 , 166.51 , 2011-10-01 00:00:00
Nintendo DS , 180179 , 27232505 , 151.14 , 2011-10-01 00:00:00
PlayStation 2 , 15744 , 1562239 , 99.23 , 2011-10-01 00:00:00
PlayStation 3 , 249128 , 67817988 , 272.22 , 2011-10-01 00:00:00
PlayStation Portable , 71615 , 9930061 , 138.66 , 2011-10-01 00:00:00
Wii , 248079 , 33644794 , 135.62 , 2011-10-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2011-10-01 00:00:00
Xbox 360 , 391482 , 113977793 , 291.14 , 2011-10-01 00:00:00
Dreamcast , 1 , 104 , 103.99 , 2010-11-01 00:00:00
Game Boy Advance , 10 , 719 , 71.89 , 2010-11-01 00:00:00
GameCube , 5 , 144 , 27.77 , 2010-11-01 00:00:00
Genesis , 0 , 0 , 0.0 , 2010-11-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-11-01 00:00:00
Neo Geo Pocket , 0 , 0 , 0.0 , 2010-11-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-11-01 00:00:00
Nintendo DS , 1514135 , 201115341 , 132.83 , 2010-11-01 00:00:00
PlayStation , 0 , 2 , 0.0 , 2010-11-01 00:00:00
PlayStation 2 , 80652 , 8006841 , 99.28 , 2010-11-01 00:00:00
PlayStation 3 , 532212 , 171482816 , 322.21 , 2010-11-01 00:00:00
PlayStation Portable , 289628 , 47125677 , 162.71 , 2010-11-01 00:00:00
Wii , 1276329 , 245750121 , 192.54 , 2010-11-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-11-01 00:00:00
Xbox 360 , 1381012 , 379051934 , 274.47 , 2010-11-01 00:00:00
Game Boy Advance , 2 , 124 , 76.72 , 2011-11-01 00:00:00
GameCube , 1 , 25 , 24.5 , 2011-11-01 00:00:00
Nintendo 3DS , 797592 , 133469258 , 167.34 , 2011-11-01 00:00:00
Nintendo DS , 351255 , 55046980 , 156.72 , 2011-11-01 00:00:00
PlayStation 2 , 25738 , 2589908 , 100.62 , 2011-11-01 00:00:00
PlayStation 3 , 896875 , 220173835 , 245.49 , 2011-11-01 00:00:00
PlayStation Portable , 229535 , 26791585 , 116.72 , 2011-11-01 00:00:00
Wii , 866746 , 107429705 , 123.95 , 2011-11-01 00:00:00
Xbox , 1 , 75 , 75.0 , 2011-11-01 00:00:00
Xbox 360 , 1692208 , 416971829 , 246.41 , 2011-11-01 00:00:00
Dreamcast , 5 , 538 , 111.42 , 2010-12-01 00:00:00
Game Boy Advance , 42 , 3002 , 71.47 , 2010-12-01 00:00:00
GameCube , 4 , 166 , 40.16 , 2010-12-01 00:00:00
Genesis , 0 , 0 , 0.0 , 2010-12-01 00:00:00
N-Gage , 0 , 0 , 0.0 , 2010-12-01 00:00:00
Neo Geo Pocket , 0 , 0 , 0.0 , 2010-12-01 00:00:00
Nintendo 16 Bit , 0 , 0 , 0.0 , 2010-12-01 00:00:00
Nintendo DS , 2516053 , 383867735 , 152.57 , 2010-12-01 00:00:00
PlayStation 2 , 75727 , 7500865 , 99.05 , 2010-12-01 00:00:00
PlayStation 3 , 1209218 , 385799972 , 319.05 , 2010-12-01 00:00:00
PlayStation Portable , 427081 , 75786066 , 177.45 , 2010-12-01 00:00:00
Wii , 2347685 , 460777935 , 196.27 , 2010-12-01 00:00:00
Xbox , 0 , 0 , 0.0 , 2010-12-01 00:00:00
Xbox 360 , 1848989 , 528201442 , 285.67 , 2010-12-01 00:00:00
Game Boy Advance , 2 , 120 , 61.4 , 2011-12-01 00:00:00
GameCube , 4 , 76 , 19.06 , 2011-12-01 00:00:00
Nintendo 3DS , 1618170 , 265845816 , 164.29 , 2011-12-01 00:00:00
Nintendo 64 , 0 , 0 , 0.0 , 2011-12-01 00:00:00
Nintendo DS , 643484 , 94329094 , 146.59 , 2011-12-01 00:00:00
PlayStation 2 , 21503 , 2124809 , 98.81 , 2011-12-01 00:00:00
PlayStation 3 , 950970 , 260491452 , 273.92 , 2011-12-01 00:00:00
PlayStation Portable , 258808 , 35010132 , 135.27 , 2011-12-01 00:00:00
PlayStation Vita , 0 , 0 , 0.0 , 2011-12-01 00:00:00
Wii , 1062221 , 153214068 , 144.24 , 2011-12-01 00:00:00
Xbox , 1 , 9 , 9.0 , 2011-12-01 00:00:00
Xbox 360 , 1735587 , 522659321 , 301.14 , 2011-12-01 00:00:00
